cik,name,tickers,ein
0000320193,Apple Inc.,AAPL,942404110
0000789019,MICROSOFT CORP,MSFT,911144442
0001045810,NVIDIA CORP,NVDA,943177549
0001652044,Alphabet Inc.,GOOGL,611767919
0001018724,AMAZON COM INC,AMZN,911646860
0001326801,"Meta Platforms, Inc.",META,201665019
0001067983,BERKSHIRE HATHAWAY INC,BRK-B,470813844
0000059478,ELI LILLY & Co,LLY,350470950
0001318605,"Tesla, Inc.",TSLA,912197729
0001730168,Broadcom Inc.,AVGO,352617337
0000019617,JPMORGAN CHASE & CO,JPM,132624428
0000104169,Walmart Inc.,WMT,710415188
0001403161,VISA INC.,V,260267673
0000731766,UNITEDHEALTH GROUP INC,UNH,411321939
0000034088,EXXON MOBIL CORP,XOM,135409005
0001141391,Mastercard Inc,MA,134172551
0000080424,PROCTER & GAMBLE Co,PG,310411980
0001341439,ORACLE CORP,ORCL,542185193
0000909832,COSTCO WHOLESALE CORP /NEW,COST,911223280
0000200406,JOHNSON & JOHNSON,JNJ,221024240
0000354950,"HOME DEPOT, INC.",HD,953261426
0000070858,BANK OF AMERICA CORP /DE/,BAC,560906609
0000310158,"Merck & Co., Inc.",MRK,221918501
0001551152,AbbVie Inc.,ABBV,320375147
0000093410,CHEVRON CORP,CVX,940890210
0000021344,COCA COLA CO,KO,580628465
0001065280,NETFLIX INC,NFLX,770467272
0000002488,ADVANCED MICRO DEVICES INC,AMD,941692300
0001108524,"Salesforce, Inc.",CRM,943320693
0000796343,ADOBE INC.,ADBE,770019522
0000077476,PEPSICO INC,PEP,131584302
0000804328,QUALCOMM INC/DE,QCOM,953685934
0001707925,LINDE PLC,LIN,000000000
0000097745,THERMO FISHER SCIENTIFIC INC.,TMO,042209186
0001283699,"T-Mobile US, Inc.",TMUS,200836269
0001467373,Accenture plc,ACN,980627530
0000072971,WELLS FARGO & COMPANY/MN,WFC,410449260
0000313616,DANAHER CORP /DE/,DHR,591995548
0000040545,GENERAL ELECTRIC CO,GE,140689340
0000858877,"CISCO SYSTEMS, INC.",CSCO,770059951
0000063908,MCDONALDS CORP,MCD,362361282
0000006951,APPLIED MATERIALS INC /DE,AMAT,941655526
0000097476,TEXAS INSTRUMENTS INC,TXN,750289970
