"cik";"accensionNumber";"reportDate";"form";"doc_link"
"320193";"0000320193-23-000106";"2023-09-30";"10-K";"aapl-20230930.htm"
"789019";"0000950170-23-035122";"2023-06-30";"10-K";"msft-20230630.htm"
"1045810";"0001045810-23-000017";"2023-01-29";"10-K";"nvda-20230129.htm"
"0001652044";"0001652044-24-000022";"2023-12-31";"10-K";"goog-20231231.htm"
"1018724";"0001018724-24-000008";"2023-12-31";"10-K";"amzn-20231231.htm"
"1326801";"0001326801-24-000012";"2023-12-31";"10-K";"meta-20231231.htm"
"1067983";"0000950170-24-019719";"2023-12-31";"10-K";"brka-20231231.htm"
"59478";"0000059478-24-000065";"2023-12-31";"10-K";"lly-20231231.htm"
"1318605";"0001628280-24-002390";"2023-12-31";"10-K";"tsla-20231231.htm"
"1730168";"0001730168-23-000096";"2023-10-29";"10-K";"avgo-20231029.htm"
"0000019617";"0000019617-24-000225";"2023-12-31";"10-K";"jpm-20231231.htm"
"104169";"0000104169-23-000020";"2023-01-31";"10-K";"wmt-20230131.htm"
"1403161";"0001403161-23-000099";"2023-09-30";"10-K";"v-20230930.htm"
"731766";"0000731766-24-000081";"2023-12-31";"10-K";"unh-20231231.htm"
"34088";"0000034088-24-000018";"2023-12-31";"10-K";"xom-20231231.htm"
"1141391";"0001141391-24-000022";"2023-12-31";"10-K";"ma-20231231.htm"
"0000080424";"0000080424-23-000073";"2023-06-30";"10-K";"pg-20230630.htm"
"1341439";"0000950170-23-028914";"2023-05-31";"10-K";"orcl-20230531.htm"
"909832";"0000909832-23-000042";"2023-09-03";"10-K";"cost-20230903.htm"
"200406";"0000200406-24-000013";"2023-12-31";"10-K";"jnj-20231231.htm"
"354950";"0000354950-23-000059";"2023-01-29";"10-K";"hd-20230129.htm"
"0000070858";"0000070858-24-000122";"2023-12-31";"10-K";"bac-20231231.htm"
"0000310158";"0001628280-24-006850";"2023-12-31";"10-K";"mrk-20231231.htm"
"1551152";"0001551152-24-000011";"2023-12-31";"10-K";"abbv-20231231.htm"
"93410";"0000093410-24-000013";"2023-12-31";"10-K";"cvx-20231231.htm"
"21344";"0000021344-24-000009";"2023-12-31";"10-K";"ko-20231231.htm"
"1065280";"0001065280-24-000030";"2023-12-31";"10-K";"nflx-20231231.htm"
"2488";"0000002488-24-000012";"2023-12-30";"10-K";"amd-20231230.htm"
"1108524";"0001108524-23-000011";"2023-01-31";"10-K";"crm-20230131.htm"
"796343";"0000796343-24-000006";"2023-12-01";"10-K";"adbe-20231201.htm"
"77476";"0000077476-24-000008";"2023-12-30";"10-K";"pep-20231230.htm"
"804328";"0000804328-23-000055";"2023-09-24";"10-K";"qcom-20230924.htm"
"1707925";"0001628280-24-007424";"2023-12-31";"10-K";"lin-20231231.htm"
"97745";"0000097745-24-000007";"2023-12-31";"10-K";"tmo-20231231.htm"
"1283699";"0001283699-24-000008";"2023-12-31";"10-K";"tmus-20231231.htm"
"1467373";"0001467373-23-000324";"2023-08-31";"10-K";"acn-20230831.htm"
"0000072971";"0000072971-24-000064";"2023-12-31";"10-K";"wfc-20231231.htm"
"313616";"0000313616-24-000052";"2023-12-31";"10-K";"dhr-20231231.htm"
"40545";"0000040545-24-000027";"2023-12-31";"10-K";"ge-20231231.htm"
"858877";"0000858877-23-000023";"2023-07-29";"10-K";"csco-20230729.htm"
"63908";"0000063908-24-000072";"2023-12-31";"10-K";"mcd-20231231.htm"
"6951";"0000006951-23-000041";"2023-10-29";"10-K";"amat-20231029.htm"
"97476";"0000097476-24-000007";"2023-12-31";"10-K";"txn-20231231.htm"
"1800";"0001628280-24-005348";"2023-12-31";"10-K";"abt-20231231.htm"
"896878";"0000896878-23-000034";"2023-07-31";"10-K";"intu-20230731.htm"
"318154";"0000318154-24-000011";"2023-12-31";"10-K";"amgn-20231231.htm"
"4962";"0000004962-24-000013";"2023-12-31";"10-K";"axp-20231231.htm"
"1393818";"0001193125-24-044485";"2023-12-31";"10-K";"d734131d10k.htm"
"1413329";"0001413329-24-000013";"2023-12-31";"10-K";"pm-20231231.htm"
"51143";"0000051143-24-000012";"2023-12-31";"10-K";"ibm-20231231.htm"
"0000018230";"0000018230-24-000009";"2023-12-31";"10-K";"cat-20231231.htm"
"0000895421";"0000895421-24-000300";"2023-12-31";"10-K";"ms-20231231.htm"
"78003";"0000078003-24-000039";"2023-12-31";"10-K";"pfe-20231231.htm"
"1744489";"0001744489-23-000216";"2023-09-30";"10-K";"dis-20230930.htm"
"0000732712";"0000732712-24-000010";"2023-12-31";"10-K";"vz-20231231.htm"
"1035267";"0001035267-24-000021";"2023-12-31";"10-K";"isrg-20231231.htm"
"0000886982";"0000886982-24-000006";"2023-12-31";"10-K";"gs-20231231.htm"
"1373715";"0001373715-24-000030";"2023-12-31";"10-K";"now-20231231.htm"
"64040";"0000064040-24-000071";"2023-12-31";"10-K";"spgi-20231231.htm"
"1166691";"0001166691-24-000011";"2023-12-31";"10-K";"cmcsa-20231231.htm"
"0000753308";"0000753308-24-000008";"2023-12-31";"10-K";"nee-20231231.htm"
"100885";"0001437749-24-003599";"2023-12-31";"10-K";"unp20231231_10k.htm"
"773840";"0000773840-24-000014";"2023-12-31";"10-K";"hon-20231231.htm"
"0001543151";"0001543151-24-000012";"2023-12-31";"10-K";"uber-20231231.htm"
"50863";"0000050863-24-000010";"2023-12-30";"10-K";"intc-20231230.htm"
"101829";"0000101829-24-000008";"2023-12-31";"10-K";"rtx-20231231.htm"
"60667";"0000060667-23-000034";"2023-02-03";"10-K";"low-20230203.htm"
"1075531";"0001075531-24-000014";"2023-12-31";"10-K";"bkng-20231231.htm"
"732717";"0000732717-24-000009";"2023-12-31";"10-K";"t-20231231.htm"
"0000310764";"0000310764-24-000024";"2023-12-31";"10-K";"syk-20231231.htm"
"1551182";"0001551182-24-000006";"2023-12-31";"10-K";"etn-20231231.htm"
"1163165";"0001163165-24-000010";"2023-12-31";"10-K";"cop-20231231.htm"
"109198";"0000109198-23-000004";"2023-01-28";"10-K";"tjx-20230128.htm"
"875320";"0000875320-24-000062";"2023-12-31";"10-K";"vrtx-20231231.htm"
"723125";"0000723125-23-000054";"2023-08-31";"10-K";"mu-20230831.htm"
"80661";"0000080661-24-000007";"2023-12-31";"10-K";"pgr-20231231.htm"
"1364742";"0000950170-24-019271";"2023-12-31";"10-K";"blk-20231231.htm"
"0000707549";"0000707549-23-000102";"2023-06-25";"10-K";"lrcx-20230625.htm"
"0000831001";"0000831001-24-000033";"2023-12-31";"10-K";"c-20231231.htm"
"316709";"0000316709-24-000018";"2023-12-31";"10-K";"schw-20231231.htm"
"936468";"0000936468-24-000010";"2023-12-31";"10-K";"lmt-20231231.htm"
"872589";"0001804220-24-000009";"2023-12-31";"10-K";"regn-20231231.htm"
"1156039";"0001156039-24-000015";"2023-12-31";"10-K";"elv-20231231.htm"
"1045609";"0000950170-24-014539";"2023-12-31";"10-K";"pld-20231231.htm"
"885725";"0000885725-24-000017";"2023-12-31";"10-K";"bsx-20231231.htm"
"6281";"0000006281-23-000203";"2023-10-28";"10-K";"adi-20231028.htm"
"12927";"0000012927-24-000010";"2023-12-31";"10-K";"ba-20231231.htm"
"320187";"0000320187-23-000039";"2023-05-31";"10-K";"nke-20230531.htm"
"1404912";"0001404912-24-000005";"2023-12-31";"10-K";"kkr-20231231.htm"
"1327567";"0001327567-23-000024";"2023-07-31";"10-K";"panw-20230731.htm"
"0000319201";"0000319201-23-000031";"2023-06-30";"10-K";"klac-20230630.htm"
"1596532";"0001596532-24-000043";"2023-12-31";"10-K";"anet-20231231.htm"
"62709";"0000062709-24-000016";"2023-12-31";"10-K";"mmc-20231231.htm"
"1090727";"0001090727-24-000008";"2023-12-31";"10-K";"ups-20231231.htm"
"896159";"0000896159-24-000003";"2023-12-31";"10-K";"cb-20231231.htm"
"315189";"0001558370-23-019812";"2023-10-29";"10-K";"de-20231029x10k.htm"
"1613103";"0001613103-23-000040";"2023-04-28";"10-K";"mdt-20230428.htm"
"8670";"0000008670-23-000030";"2023-06-30";"10-K";"adp-20230630.htm"
"1053507";"0001053507-24-000011";"2023-12-31";"10-K";"amt-20231231.htm"
"1739940";"0001739940-24-000005";"2023-12-31";"10-K";"ci-20231231.htm"
"0001559720";"0001559720-24-000006";"2023-12-31";"10-K";"abnb-20231231.htm"
"798354";"0000798354-24-000037";"2023-12-31";"10-K";"fi-20231231.htm"
"883241";"0000883241-23-000019";"2023-10-31";"10-K";"snps-20231031.htm"
"1571996";"0001571996-23-000007";"2023-02-03";"10-K";"dell-20230203.htm"
"92122";"0000092122-24-000009";"2023-12-31";"10-K";"so-20231231.htm"
"860730";"0000950170-24-016524";"2023-12-31";"10-K";"hca-20231231.htm"
"882095";"0000882095-24-000007";"2023-12-31";"10-K";"gild-20231231.htm"
"1103982";"0001103982-24-000019";"2023-12-31";"10-K";"mdlz-20231231.htm"
"823768";"0001558370-24-001049";"2023-12-31";"10-K";"wm-20231231x10k.htm"
"89800";"0000089800-24-000033";"2023-12-31";"10-K";"shw-20231231.htm"
"829224";"0000829224-23-000058";"2023-10-01";"10-K";"sbux-20231001.htm"
"1099590";"0001099590-24-000008";"2023-12-31";"10-K";"meli-20231231.htm"
"14272";"0000014272-24-000044";"2023-12-31";"10-K";"bmy-20231231.htm"
"1571949";"0001571949-24-000007";"2023-12-31";"10-K";"ice-20231231.htm"
"764180";"0000764180-24-000018";"2023-12-31";"10-K";"mo-20231231.htm"
"0001326160";"0001326160-24-000037";"2023-12-31";"10-K";"duk-20231231.htm"
"0001059556";"0001059556-24-000017";"2023-12-31";"10-K";"mco-20231231.htm"
