CIK,Name,Supplier Financing Program,Text,Table
0000320193,Apple Inc.,0,,
0000789019,MICROSOFT CORP,0,,
0001045810,NVIDIA CORP,0,,
0001652044,Alphabet Inc.,0,,
0001652044,Alphabet Inc.,0,,
0001018724,AMAZON COM INC,0,,
0001326801,"Meta Platforms, Inc.",0,,
0001067983,BERKSHIRE HATHAWAY INC,0,,
0001067983,BERKSHIRE HATHAWAY INC,0,,
0000059478,ELI LILLY & Co,0,,
0001318605,"Tesla, Inc.",0,,
0001730168,Broadcom Inc.,0,,
0000019617,JPMORGAN CHASE & CO,0,,
0000019617,JPMORGAN CHASE & CO,0,,
0000019617,JPMORGAN CHASE & CO,0,,
0000019617,JPMORGAN CHASE & CO,0,,
0000019617,JPMORGAN CHASE & CO,0,,
0000019617,JPMORGAN CHASE & CO,0,,
0000019617,JPMORGAN CHASE & CO,0,,
0000019617,JPMORGAN CHASE & CO,0,,
0000104169,Walmart Inc.,0,,
0001403161,VISA INC.,0,,
0000731766,UNITEDHEALTH GROUP INC,0,,
0000034088,EXXON MOBIL CORP,0,,
0001141391,Mastercard Inc,0,,
0000080424,PROCTER & GAMBLE Co,0,,
0001341439,ORACLE CORP,0,,
0000909832,COSTCO WHOLESALE CORP /NEW,0,,
0000200406,JOHNSON & JOHNSON,0,,
0000354950,"HOME DEPOT, INC.",0,,
0000070858,BANK OF AMERICA CORP /DE/,0,,
0000070858,BANK OF AMERICA CORP /DE/,0,,
0000070858,BANK OF AMERICA CORP /DE/,0,,
0000070858,BANK OF AMERICA CORP /DE/,0,,
0000070858,BANK OF AMERICA CORP /DE/,0,,
0000070858,BANK OF AMERICA CORP /DE/,0,,
0000070858,BANK OF AMERICA CORP /DE/,0,,
0000070858,BANK OF AMERICA CORP /DE/,0,,
0000070858,BANK OF AMERICA CORP /DE/,0,,
0000070858,BANK OF AMERICA CORP /DE/,0,,
0000070858,BANK OF AMERICA CORP /DE/,0,,
0000070858,BANK OF AMERICA CORP /DE/,0,,
0000070858,BANK OF AMERICA CORP /DE/,0,,
0000070858,BANK OF AMERICA CORP /DE/,0,,
0000070858,BANK OF AMERICA CORP /DE/,0,,
0000070858,BANK OF AMERICA CORP /DE/,0,,
0000070858,BANK OF AMERICA CORP /DE/,0,,
0000310158,"Merck & Co., Inc.",0,,
0001551152,AbbVie Inc.,0,,
0000093410,CHEVRON CORP,0,,
